,DEPTH,DT,GR,ILD,NPHI,RHOB,Porosidade_DT,Classe_poro_dt
62,2982.4,86.7578,54.3086,3.4951,21.3025,2.5395,0.23126165413533836,Alta
63,2982.6,87.2891,56.6797,3.4392,22.4219,2.5149,0.23525639097744364,Alta
64,2982.8,89.6641,56.2578,3.435,24.6289,2.4604,0.2531135338345865,Alta
65,2983.0,92.0469,54.1094,3.4496,25.4827,2.4328,0.2710293233082706,Alta
66,2983.2,92.6116,53.3474,3.4656,24.8984,2.4376,0.2752751879699248,Alta
67,2983.4,90.957,55.332,3.4978,23.9297,2.4505,0.26283458646616537,Alta
68,2983.6,88.9688,57.5039,3.5505,23.4444,2.459,0.2478857142857143,Alta
69,2983.8,88.1875,58.2383,3.6179,23.5645,2.4629,0.24201127819548873,Alta
70,2984.0,88.293,58.5627,3.6899,23.4688,2.4605,0.24280451127819552,Alta
71,2984.2,88.5781,58.2812,3.7556,22.8203,2.4518,0.24494812030075191,Alta
72,2984.4,88.9961,58.2812,3.7788,22.7319,2.4397,0.248090977443609,Alta
73,2984.6,89.7266,59.7617,3.7185,23.0938,2.4319,0.2535834586466166,Alta
74,2984.8,90.4258,61.707,3.6179,23.7031,2.4336,0.25884060150375937,Alta
75,2985.0,90.7026,62.3462,3.5481,24.2617,2.4341,0.2609218045112782,Alta
76,2985.2,90.4883,61.5352,3.4875,23.7852,2.4279,0.25931052631578944,Alta
77,2985.4,89.7305,59.9961,3.4268,22.8652,2.4187,0.2536127819548873,Alta
78,2985.6,88.957,58.0664,3.3951,22.8867,2.4115,0.24779699248120296,Alta
79,2985.8,88.7646,56.1562,3.415,23.1494,2.4067,0.24635037593984963,Alta
80,2986.0,89.071,54.918,3.4851,23.1338,2.4091,0.24865413533834585,Alta
81,2986.2,89.1497,55.4297,3.5662,23.5391,2.4194,0.2492458646616541,Alta
82,2986.4,88.5664,61.875,3.6147,24.3398,2.4237,0.24486015037593986,Alta
83,2986.6,87.5757,78.375,3.6086,24.1484,2.4167,0.2374112781954887,Alta
84,2986.8,87.9102,100.6875,3.5757,22.6914,2.412,0.2399263157894737,Alta
85,2987.0,90.0117,111.3906,3.5237,24.0586,2.4019,0.25572706766917297,Alta
86,2987.2,92.25,99.3125,3.3953,28.7734,2.3773,0.2725563909774436,Alta
87,2987.4,92.1523,81.1875,3.1804,29.6211,2.3748,0.2718218045112782,Alta
88,2987.6,90.7148,71.0625,3.0066,26.3789,2.4067,0.2610135338345864,Alta
89,2987.8,90.0039,67.0469,2.9618,24.0469,2.4443,0.2556684210526316,Alta
90,2988.0,90.1482,68.5625,3.0107,23.3711,2.462,0.2567533834586466,Alta
91,2988.2,89.5664,78.75,3.0132,22.8828,2.4636,0.2523789473684211,Alta
92,2988.4,88.5586,96.4375,2.959,22.5156,2.4575,0.2448015037593985,Alta
93,2988.6,88.9922,104.0,2.9262,22.5117,2.4532,0.24806165413533832,Alta
94,2988.8,91.0039,91.1875,2.9385,24.2695,2.4478,0.2631872180451128,Alta
